claim_id,status,wording,source_evidence,caveat,guardrail
A01,allowed cautious wording,did not support a robust acute mTBI resting EEG marker,reports/28_d1_d3_post_analysis_audit.md; outputs/qc/final_result_consistency_checks.csv,Use marker only as a negated claim; do not imply clinical validation was achieved.,identified a robust acute mTBI EEG marker
A02,allowed cautious wording,attenuated under artifact-control and cross-task testing,reports/28_d1_d3_post_analysis_audit.md; reports/35_d2_bounded_falsification_report.md,Original exact row-level model outputs were not locally available.,was confirmed after artifact-control and cross-task testing
A03,allowed cautious wording,did not survive broad artifact-controlled FDR,outputs/qc/final_result_consistency_checks.csv; reports/36_integrated_d1_d2_d3_final_decision_report.md,Narrow prior-anchor result is exploratory and not confirmatory.,survived artifact-controlled correction
A04,allowed cautious wording,did not rescue or support the acute signal,reports/28_d1_d3_post_analysis_audit.md; outputs/final/key_result_claims_traceability.csv,Generated D3 table lacks aperiodic-adjusted alpha peak metrics.,provided confirmatory alpha evidence
A05,allowed cautious wording,partial/inconsistent bounded cross-task support,reports/35_d2_bounded_falsification_report.md; outputs/d2_cross_task/d2_falsification_summary.csv,D2 overlaps by Original_ID and is not an independent cohort.,independently confirmed in D2
A06,allowed cautious wording,weak exploratory DPX cue-baseline trace,reports/35_d2_bounded_falsification_report.md; outputs/qc/final_result_consistency_checks.csv,Cue-baseline q<0.10 is exploratory and context-specific.,DPX validated the resting EEG signal
A07,allowed cautious wording,exploratory and batch-sensitive chronic branch,reports/28_d1_d3_post_analysis_audit.md; outputs/final/d1_d2_d3_evidence_matrix.csv,Do not use chronic results to prove acute mTBI effects.,chronic TBI proves the acute signal
A08,allowed cautious wording,motivate preregistered artifact-controlled confirmatory work,reports/40_final_scientific_synthesis_and_publishability_report.md,The current manuscript should not imply the confirmatory study has already been done.,are ready for clinical deployment
B01,blocked overclaim wording,no marker-validation claim is supported,reports/36_integrated_d1_d2_d3_final_decision_report.md; outputs/final/key_result_claims_traceability.csv,"Future prospective validation could change this, but current outputs cannot.",validated biomarker
B02,blocked overclaim wording,candidate signal did not support diagnostic use,reports/40_final_scientific_synthesis_and_publishability_report.md,The package is not a diagnostic accuracy study.,diagnostic biomarker
B03,blocked overclaim wording,not evaluated as a predictive endpoint,reports/40_final_scientific_synthesis_and_publishability_report.md,No symptom or outcome prediction endpoint is supported.,predictive biomarker
B04,blocked overclaim wording,initially promising EEG candidate attenuated,reports/28_d1_d3_post_analysis_audit.md; reports/35_d2_bounded_falsification_report.md,A weak/context-specific trace is not confirmation.,confirmed EEG signature
B05,blocked overclaim wording,bounded cross-task check with overlapping identities,reports/35_d2_bounded_falsification_report.md; reports/33_d2_subject_overlap_report.md,Within-subject stability is not independent replication.,independently replicated signal
B06,blocked overclaim wording,D2 bounded falsification/reproducibility check,outputs/d2_cross_task/d2_falsification_summary.csv; reports/35_d2_bounded_falsification_report.md,DPX cue-baseline is a weak exploratory trace only.,D2 validation
B07,blocked overclaim wording,chronic branch remains exploratory and batch-sensitive,reports/28_d1_d3_post_analysis_audit.md,Chronic and acute must remain separate.,chronic TBI proof
B08,blocked overclaim wording,ds003490 comparator/pipeline rehearsal,reports/22_ds003490_feature_readiness_report.md; outputs/final/d1_d2_d3_evidence_matrix.csv,It may support methods readiness only.,ds003490 TBI validation
B09,blocked overclaim wording,future studies should collect symptom covariates,reports/40_final_scientific_synthesis_and_publishability_report.md,No supported symptom endpoint belongs in the main claim set.,predicts symptoms
B10,blocked overclaim wording,not ready for clinical use,reports/36_integrated_d1_d2_d3_final_decision_report.md,"Clinical deployment requires prospective validation, thresholds, and utility evidence.",ready for clinical deployment
B11,blocked overclaim wording,no classifier rescue was attempted,reports/36_integrated_d1_d2_d3_final_decision_report.md; reports/41_reproduction_and_handoff_guide.md,A new preregistered predictive design would be a different study.,classification rescues the signal
