evidence_stream,dataset,task_or_state,group_or_comparison,feature_family,primary_metric,effect_size_summary,q_value_summary,robustness_summary,artifact_sensitivity,batch_or_identity_caveat,interpretation,supports_candidate,weakens_candidate,manuscript_use,source_files
D1 original/resting aperiodic candidate,ds003522,resting/eyes-open anchor,acute mTBI vs control; chronic exploratory branch separate,aperiodic/spectral-balance features,"prior execution-prompt anchor, not local per-feature model rows",prior anchor described acute abs(g) about 0.80-0.96 and chronic up to about 1.11,prior anchor described broad-screen FDR <0.10 for acute and some chronic FDR <0.05,promising but not locally reproducible as exact original rows,high concern because lead rows involved eyes-open frontal/temporal/global features,chronic branch is separate and batch-sensitive,historical signal discovery anchor only,weak_initial_signal,exact original rows unavailable; artifact-controlled rerun attenuated,"background/rationale only, not a confirmatory result",reports/28_d1_d3_post_analysis_audit.md; C:/Users/gbp34/Downloads/D1_D2_D3_AI_execution_prompt.md
D1 artifact-trimmed acute mTBI,ds003522,"resting, eyes-open and eyes-closed broad family",acute mTBI vs control,aperiodic/spectral/entropy families,minimum broad Benjamini-Hochberg FDR q after ptp95 trim,top effects remain moderate in places but attenuated relative to prior anchor,min broad q=0.7876020805555347,does not survive broad artifact-controlled FDR,artifact-sensitive; proxy adjustment median attenuation about 0.09681 across estimable top models,acute comparison cleaner than chronic; no acute/chronic pooling,null-leaning after artifact control,no,yes,primary cautionary result,outputs/qc/final_result_consistency_checks.csv; outputs/qc/d1_d3_audit_checks.csv; reports/28_d1_d3_post_analysis_audit.md
D1 strict artifact-clean branch,ds003522,"resting, strict 250 uV branch",acute mTBI vs control,all planned D1 features,recording-condition retention and group-model feasibility,not_available,not_available,strict branch retained too few recording-condition rows for group modeling,shows that very strict peak-to-peak filtering is overconservative for these files,sample-composition distortion prevents inference,"quality-control branch, not interpretable as a group result",no,yes,artifact-control limitation and sensitivity note,outputs/qc/d1_d3_artifact_branch_sample_counts.csv; reports/28_d1_d3_post_analysis_audit.md
D3 eyes-closed alpha/IAF,ds003522,eyes-closed posterior alpha/IAF branch,acute mTBI vs control,"alpha power, alpha peak, IAF-adjacent features",posterior acute minimum FDR q,weak exploratory rows only; no aperiodic-adjusted alpha peak metric in generated D3 table,posterior acute min q=0.9149353547832862,does not rescue the D1 signal,less eyes-open artifact exposure but not supportive,same ds003522 cohort; not independent,null/non-supportive,no,yes,negative sensitivity endpoint,outputs/qc/final_result_consistency_checks.csv; outputs/features/d3_ec_alpha_iaf_features.csv; reports/28_d1_d3_post_analysis_audit.md
chronic TBI exploratory branch,ds003522,"resting, artifact-trimmed",chronic TBI vs control,aperiodic/spectral/entropy families,minimum broad FDR q after artifact trim,larger nominal effects in several eyes-open rows,min broad q=0.3484142544296637,does not survive broad FDR and remains secondary,batch-sensitive; chronic proxy rows differ more in some temporal/frontal checks,separate recruitment/batch context; not proof for acute mTBI,exploratory context only,weak_context_only,batch caveat prevents proof,separate exploratory subsection,outputs/qc/final_result_consistency_checks.csv; reports/28_d1_d3_post_analysis_audit.md
ds003490 pipeline rehearsal,ds003490,rest/oddball rehearsal,non-TBI comparator only,MNE/event/rest/alpha/aperiodic readiness,readability and event/feature feasibility,not_applicable,not_applicable,75 .set/.fdt pairs verified; MNE/event parsing rehearsed,pipeline rehearsal only,not a TBI dataset; cannot validate a TBI claim,methods rehearsal/comparator,no,not_applicable,methods/QC comparator only if needed,reports/20_ds003490_full_retrieval_report.md; reports/22_ds003490_feature_readiness_report.md; outputs/d2_cross_task/ds003490_feature_readiness_summary.csv
D2 ds005114 DPX cue-baseline,ds005114,DPX cue-locked baseline,mTBI vs control,alpha/spectral-balance structure,minimum FDR q and maximum absolute Hedges g,max abs(g)=0.5277489285227807,min q=0.08979556263104832,only weak q<0.10 trace in D2; context-specific,does not override D1/D3 artifact sensitivity,overlapping Original_IDs across D2 tasks; not independent cohort evidence,weak/context-specific supportive trace,weak_partial,insufficient alone,"bounded falsification result, not validation",outputs/d2_cross_task/d2_within_dataset_group_effects.csv; reports/35_d2_bounded_falsification_report.md
D2 ds005114 task-average,ds005114,DPX task-average,mTBI vs control,harmonized D2 spectral features,task-average minimum FDR q,max abs(g)=0.4955 in summary table,task-average min q=0.15243777278984608,directional but non-FDR-supportive,does not rescue artifact-sensitive D1,same D2 subject identity framework; task-average not independent confirmation,weakens robust convergence narrative,no,yes,negative/generalization check,outputs/d2_cross_task/d2_falsification_summary.csv; reports/35_d2_bounded_falsification_report.md
D2 ds003523 VWM task-average,ds003523,visual working memory task-average,mTBI vs control,harmonized D2 spectral features,task-average minimum FDR q,max abs(g)=0.3669 in summary table,task-average min q=0.47204368180214323,directional but non-FDR-supportive,does not rescue artifact-sensitive D1,overlap with DPX by Original_ID; not separate cohort proof,does not support robust convergence,no,yes,negative/generalization check,outputs/d2_cross_task/d2_falsification_summary.csv; reports/35_d2_bounded_falsification_report.md
D2 mixed-effects models,ds005114+ds003523,DPX and VWM integrated model,mTBI vs control with task terms,harmonized D2 spectral features,number of group terms below q<0.10,not_available,group terms q<0.10 count=0,27 MixedLM completed and 21 clustered OLS fallbacks; no group reference-task term below q<0.10,does not rescue D1,modeling is numerically fragile for part of feature family,no robust cross-task group convergence,no,yes,bounded falsification result,outputs/d2_cross_task/d2_mixed_effects_models.csv; reports/35_d2_bounded_falsification_report.md
